submitted_on,community_type,latitude,longitude,traditional_authority,district,familiar_sanitation_types,latrines_in_community,sanitation_system_home,photo_sanitation_facility,sanitation_location_to_home,purchase_installation_process,latrine_installed,system_duration_magnitude,system_duration_unit,latrine_builder,facility_in_use,is_pit_lined,pit_lining_material,other_waste_disposed,other_waste_specified,biogas_generation,toilet_build_cost,cost_affordability,reasonable_cost_magnitude,reasonable_cost_unit,install_duration_magnitude,install_duration_unit,latrine_usage_process,safe_for_vulnerable,adapted_for_disabled,men_use_for_urination,liked_features,liked_features_other,sit_or_squat,currently_do,used_at_night,has_light,bring_own_light,bring_own_light_comments,odor_control,has_vent_pipe,prefer_less_odor,satisfaction_with_latrine,issues_with_animals,animal_issues_other,ideal_latrine_description,latrine_within_30m_water,latrine_distance_to_water,water_source,flush_with_water,latrine_description,soil_description,soil_description_other,latrine_user_count,latrine_built_year,expected_lifespan_magnitude,expected_lifespan_unit,privacy_enclosure_other_uses,above_ground_maintenance,above_ground_maintenance_other,above_ground_cleaning,uses_cleaning_chemicals,maintenance_frequency,maintenance_by,maintenance_by_other,maintenance_cost,cleaning_major_issue,pit_latrine_condition,is_filled_up,is_replacement,previous_filled_count,fill_up_speed,is_abandoned,reason_for_abandonment,is_emptied,why_not_emptied,why_not_emptied_other,emptying_frequency,emptying_method
10/14/2020,Rural,-13.5129205,33.7408715,TA Dzoole,Dowa,Pit Latrine with Slab,No,NA,https://api.mwater.co/v3/images/4fcff19b60fd4e4fb8e8e8fcf365d456,Between 10 meters to 15 meters,"I bought bricks for lining and enclosure, cement was donation but i ls bought iron sheets. It took a month building this latrine from the pit up",NA,NA,NA,NA,Yes,Yes,Bricks,Other,Nothing,Not Applicable,NA,Easy,30000,MK,1,Months,"I get wiping materials like paper which is very rare but leaves are commonly used, then i go in to relief myself then off i go",Very safe,No,No,Concrete Slab,NA,Seat,Squatting,Yes,No,Yes,We usually use torch light,No,No,Yes,3 (satisfied),Other,We were once infested by cockroaches from the latrine,I would prefer a VIP latrine with  vent nd toilet seat for easy flushing,No,NA,Borehole or tubewell,No,"Our latrine is 6metre deep, lined with bricks then covered with a san plat,. It has an enclosure of bricks nd a roof of iron sheets",Dry,NA,11 to 20 people,6/8/2017,15,Years,No,Wall maintenance,NA,Mopping,Water only,None,"Owner of the house, Other",Particularly wife for cleaning,No cost,No,Structurally stable,No,Yes,2,More than 3 years,Abandoned,It has filled up,No,Other,The design of latrines we have here do not have qualities that can allow us to empty,NA,NA
10/14/2020,Peri Urban,-13.5186811,33.7417839,TA Dzoole,Dowa,Pit Latrine with Slab,No,NA,https://api.mwater.co/v3/images/c7d1d8acfeec4111bdaa4c093646cf25,Less than 10 meters,They are tenants in the house so they found the latrine built already,NA,NA,NA,NA,Yes,Yes,Cement Concrete,Ashes,NA,No,NA,Easy,50000,MK,3,Weeks,"Before i go i make sure there is water close by, then they make sure tissue is available and then they go in, after that they wipe and wash their hands",Very safe,No,Yes,"Handwashing Point, Toilet Seat",NA,Seat,Squatting,Yes,No,Yes,Candle is used,No,No,Yes,1 (not satisfied),Yes,NA,"Pour flush toilet, with a sit and a sink inside",Yes,20,Piped into yard/plot,No,"Pit latrine with a slab and iron sheets. When you go in you fimd a hole in the middle of the toilet and you squat to use it. Ghe latrine is next to the bathroom, so thwt water can seeve through the toilet from the bathroom to minimize odor",Dry,NA,6 to 10 people,6/1/2016,6,Years,No,"Roof maintenance, Door maintenance, Floor maintenance, Wall maintenance",NA,"Sweeping, Mopping",Water only,Daily,Owner of the house,NA,"MK 5,000 - 10,000",No,Structurally stable,No,No,NA,NA,Not Applicable,NA,Not Applicable,NA,NA,NA,NA
10/14/2020,Rural,-13.518775,33.7419958,TA Dzoole,Dowa,"Flush/Pour flush toilet, Pit Latrine with Slab, Pit Latrine without slab/Open pit",NA,NA,https://api.mwater.co/v3/images/72d08ce10e614e35a704719e31eb8d88,Between 10 meters to 15 meters,"Dug a hole
Bought bricks 
Bricks are laid as floor and smeared
Then the wall is erected
And logs and grass for the roof
",NA,NA,NA,NA,Yes,No,NA,Other,Hot water,No,NA,Difficult,15000,MK,1,Weeks,"From the house we use any type of papers around
We use a bucket for washing hands that is placed closed to the latrine",Very safe,No,Yes,Concrete Slab,NA,Squat,Squatting,Yes,No,NA,We use matches or phone flashlight,Yes,No,Yes,1 (not satisfied),Yes,NA,"It could use burnt bricks 
Plastered
Cemented floor
Iron sheet roof",No,NA,"Surface Water, Piped into dwelling",No,"It was built using moulded bricks and soil 
Grass roof",Dry,NA,6 to 10 people,1/1/2016,4,Years,No,Other,No maintenance done,"Sweeping, Smearing",Water only,Monthly,Owner of the house,NA,No cost,Yes,Structurally stable,No,Yes,3,2-3 years,Abandoned,Replaced by new sanitation facility,No,Other,Its a worthless building it shouldnt be given too much attention like that,NA,NA
10/14/2020,Peri Urban,-13.5232807,33.7434647,Mponela Urban,Dowa,"Flush/Pour flush toilet, Ventilated Improved pit (VIP) Latrine, Pit Latrine with Slab, Pit Latrine without slab/Open pit",NA,NA,https://api.mwater.co/v3/images/2693348ba5e74de98e384effc8fe7c83,Between 10 meters to 15 meters,"Bought cement and bricks and iron sheets
Cement floor 
Brick wall",NA,NA,NA,NA,NA,Yes,Cement Concrete,Other,Nothing,Yes,NA,Dont know,11000,MK,1,Weeks,"Uses toilet tissue 
Washes hands using water in a bucket",Very safe,No,Yes,Other,It should have a door that you can lock,Squat,Squatting,Yes,No,No,We use matches or phone flashlight sometimes we light up grass and use,No,No,Yes,1 (not satisfied),Other,Cockroaches,"With a slab
Painted
Door with a lock
Ventilated Improved latrine
With a capability of being emptied",NA,NA,Unprotected dug well,No,"Was built using Burnt bricks 
Cemented floor
Iron sheets
",Dry,NA,6 to 10 people,1/1/2015,4,Years,No,Other,No maintenance,Mopping,Water only,None,Other,No maintenance,No cost,No,Structurally stable,Yes,No,NA,NA,Could be used again,NA,No,Other,Individual capable of giving the reason why not available,NA,NA
10/14/2020,NA,-13.512983,33.7403501,TA Dzoole,Dowa,"Ventilated Improved pit (VIP) Latrine, Pit Latrine with Slab",No,NA,https://api.mwater.co/v3/images/d6328627461d4b19b42d2e7e4d31b766,Between 10 meters to 15 meters,"A hole is dug 3½m 
Then bricks are laid
Then the wall and roof is included
Lastly cement is used for the floor


",NA,NA,NA,NA,Yes,Yes,Bricks,Other,Chemicals for killing cockroaches,No,NA,Difficult,25000,MK,1,Weeks,"A latrine when used papers from worn out exercise books are used 
And when done water is placed close to the toilet for handwashing",Very safe,No,No,Other,Desires latrine to be plastered,Squat,Squatting,Yes,No,Yes,Flashlight,No,No,Yes,3 (satisfied),No,NA,Ventilated improved latrine,No,NA,"Protected dug well, Surface Water",No,"It was built using bricks and cement 
Its connected to a bathroom
It has iron sheets",Dry,NA,1 to 5 people,5/1/2020,10,Years,No,Other,Never done,Mopping,Water only,None,Other,Never been done,No cost,No,Structurally stable,No,Yes,4,More than 3 years,Abandoned,Collapsed due to rainfall,No,Other,Its a lot of work,NA,NA
10/14/2020,Rural,-13.512825,33.7405537,TA Dzoole,Dowa,"Pit Latrine with Slab, Pit Latrine without slab/Open pit",No,NA,https://api.mwater.co/v3/images/f43d99b01b34471d9c673c85e61dbfb6,Between 10 meters to 15 meters,"Bought bricks
Bricks are also used for the floor
Logs are used to roof the wall",NA,NA,NA,NA,Yes,No,NA,Ashes,NA,No,NA,Difficult,10000,MK,1,Weeks,"
Bricks are also used for the floor
Logs are used to roof the wall",Reasonably safe,No,Yes,Iron Sheets Roof,NA,Seat,Squatting,Yes,NA,NA,NA,Yes,No,Yes,1 (not satisfied),Yes,NA,It should have a roof a slab and a seat,Yes,50,"Protected dug well, Surface Water",No,"Its built using moulded bricks logs and grass 
",Dry,NA,6 to 10 people,9/1/2020,3,Years,No,Floor maintenance,NA,Smearing,Water only,Weekly,"Members of the community, Owner of the house",NA,"Less than MK 1,000",Yes,Structurally stable,No,Yes,4,2-3 years,Abandoned,Collapsed due to rainfall,No,Lack of technical knowledge to empty latrine,NA,NA,NA
10/14/2020,Rural,-13.5143679,33.7407983,TA Dzoole,Dowa,"Flush/Pour flush toilet, Pit Latrine with Slab",No,NA,https://api.mwater.co/v3/images/d42391169726429088b83e70cc13e2ca,Less than 10 meters,Someone was hired to buid the latrine. Used burnt molded bricks. It was plastered. The pit is lined. It has an iron sheet roof,NA,NA,NA,NA,Yes,Yes,Bricks,Other,Water from the bathroom. There is a pipe which diverts water from the bathroom to the toilet,No,NA,Difficult,15000,MK,2,Weeks,Take papers from the house for wiping. Then go to the toilet. After using the latrine then they take water from a basin and use it to wash hands,Very safe,No,No,"Iron Sheets Roof, Concrete Slab",NA,Squat,Squatting,Yes,No,Yes,A torch,No,No,Yes,1 (not satisfied),No,NA,"Have a handwashing facility, should have cement floor for easy cleaning. Flush toilet",Yes,10,Piped into public tap  or basin,No,"Had iron sheet, has a concrete slab, pit is lined",Dry,NA,6 to 10 people,1/2/2020,4,Years,No,Door maintenance,NA,Mopping,Soap and water,Weekly,Owner of the house,NA,"Less than MK 1,000",No,Structurally stable,No,No,NA,NA,Not Applicable,NA,Not Applicable,NA,NA,NA,NA
10/14/2020,Peri Urban,-13.5181767,33.7415761,TA Dzoole,Dowa,"Pit Latrine with Slab, Flush/Pour flush toilet, Composting Toilet, Pit Latrine without slab/Open pit",No,NA,https://api.mwater.co/v3/images/0f64711b7cd8458ca9f3b18eab6020b0,Less than 10 meters,Dont know how the latrine was constructed because they are just renting the place,NA,NA,NA,NA,Yes,No,NA,Other,Pads,Not Applicable,NA,Easy,30000,MK,3,Weeks,When going to the toilet we get tissue. After we wash hands. Someone comes to pour the water for us to wash hands,Very safe,No,Yes,Other,"Offers privacy, no one can see you while using it",Squat,Squatting,Yes,No,Yes,Use a torch,Yes,No,Yes,3 (satisfied),Yes,NA,Would like to have a composting toilet because it produces manure which can be used for farming,Yes,2,Piped into yard/plot,No,Was built with mud bricks. It has a san pat. Has iron sheets roof. Has a door made of iron sheets,Other,Loam soil,1 to 5 people,2/3/2016,2,Years,No,Other,Has never been maintained,Sweeping,None,Daily,Owner of the house,NA,No cost,No,Structurally stable,No,Yes,1,More than 3 years,Not Applicable,NA,No,Other,Not yet full,NA,NA
10/14/2020,Peri Urban,-13.5261288,33.7387727,Mponela Urban,Dowa,"Pit Latrine without slab/Open pit, Pit Latrine with Slab",No,NA,https://api.mwater.co/v3/images/320b35286465414cbd001467214eb375,Less than 10 meters,Dug a 2m pit. Bought bricks to build the walls. Put metal bars on the pit as logs. Bought plastic paper and thatch to put on the roof.,NA,NA,NA,NA,Yes,No,NA,"Ashes, Other",Water,No,NA,Somewhat difficult,30000,MK,1,Months,Use papers from a notebook. And also use water to cleanse because she is a Muslim. Have a pail and cup and soap in the bathroom to wash hands after using the toilet,Very safe,No,Yes,Other,It is clean,Squat,Squatting,Yes,No,Yes,Torch,No,No,Yes,1 (not satisfied),No,NA,Should be lined. Have a san plat so that it can be mopped. Have iron sheet roofing,Yes,20,Piped into yard/plot,No,Has thatched roof. Connected to a bathroom. Water from bathroom goes into the latrine,Dry,NA,1 to 5 people,1/1/2007,5,Years,No,"Roof maintenance, Floor maintenance",NA,"Smearing, Sweeping",None,Daily,Owner of the house,NA,"MK 5,000 - 10,000",Yes,Structurally stable,No,Yes,1,More than 3 years,Abandoned,It has filled up,No,Lack of money to pay service provider,NA,NA,NA
10/15/2020,Rural,-13.516971,33.7415583,TA Dzoole,Dowa,"Pit Latrine with Slab, Composting Toilet",No,NA,https://api.mwater.co/v3/images/345ed1aa548849578930aed2133cfaa5,Between 10 meters to 15 meters,"We nought cement and brick, then we hired a builder to construct it for me. I paid him k6000",NA,NA,NA,NA,Yes,No,NA,"Mulching materials, Ashes",NA,Not Applicable,NA,Somewhat easy,50000,MK,1,Weeks,"When i have a feeling to go to the latrine, i take a piece of tissue paper or any paper or leaves and maize cob and help myself. After using the latrine, i wash my hands with soap",Reasonably safe,No,Yes,Concrete Slab,NA,Seat,Squatting,Yes,No,Yes,I use my phones torch loght,Yes,No,Yes,1 (not satisfied),Yes,NA,"I would prefer a latrine that have a slab, water based, inbuilt lighting and iron sheeted roof,",No,NA,Piped into yard/plot,No,"We dug 2.5metres deep, then lined it half way from the top then cover it up with a concrete/slab. Bricks were used to construct walls with mud morter then old iron sheets were used to make a roof",Dry,NA,6 to 10 people,5/16/2013,8,Years,No,Wall maintenance,NA,Sweeping,Chlorine,Weekly,Owner of the house,NA,"MK 5,000 - 10,000",No,Structurally stable,Yes,Yes,2,1-2 years,Could be used again,NA,Yes,NA,NA,More than 3 years,Manual emptying
